S.No,Control,TestCaseID,fileName,Module,Author,Description
1,Y,API_svcConsole_TenantList_Test,TenantList,API_Regression,Visnu,API_Check  
2,Y,API_svcConsole_TenantStatusDelete_Test,TenantStatusDelete,API_Regression,Visnu,API_Check
3,Y,API_svcConsole_TenantConfiguration_Test,TenantConfiguration,API_Regression,Visnu,API_Check
4,Y,API_svcConsole_TenantPoweradminConfiguration_Test,TenantPoweradminConfiguration,API_Regression,Visnu,API_Check
5,Y,API_svcConsole_TenantByID_Test,TenantByID,API_Regression,Visnu,API_Check,
6,Y,API_svcConsole_TenantLanguages_Test,TenantLanguages,API_Regression,Visnu,API_Check,
7,Y,API_svcConsole_EmailNotificationTemplatesList_Test,EmailNotificationTemplatesList,API_Regression,Visnu,API_Check,
8,Y,API_svcConsole_EmailNotificationTemplatesGetById_Test,EmailNotificationTemplatesGetById,API_Regression,Visnu,API_Check,
9,Y,API_svcConsole_EmailNotificationTemplatesEdit_Test,EmailNotificationTemplatesUpdate,API_Regression,Visnu,API_Check,
10,Y,API_svcConsole_ReportPaymentsReconciliation_Test,ReportPaymentsReconciliation,API_Regression,Visnu,API_Check,
11,Y,API_svcConsole_TenantExists_Test,TenantExists,API_Regression,Visnu,API_Check,
12,Y,API_svcConsole_ReportPaymentsReconciliationExport_Test,ReportPaymentsReconciliationExport,API_Regression,Visnu,API_Check,
13,Y,API_svcConsole_GetProductDetail_Test,GetProductDetail,API_Regression,Visnu,API_Check,
14,Y,API_svcConsole_Report_Test,Report,API_Regression,Visnu,API_Check
